trials,nct_id,models,logLik,AIC,BIC,nobs,nevent,n,outcome,outcome_method
6,NCT02465515,f1,-6796,13594,13599,9462,766,9462,mace,coxph
6,NCT01131676,f1,-6636,13277,13286,7064,773,7064,mace,coxph
6,NCT01032629,f1,-5387,10777,10786,4330,658,4330,mace,coxph
6,NCT01989754,f1,-2831,5664,5668,5805,337,5805,mace,coxph
6,NCT02065791,f1,-3950,7902,7906,4401,486,4401,mace,coxph
6,NCT00968708,f1,-5115,10231,10236,5384,621,5384,mace,coxph
6,NCT02465515,f2,-6772,13550,13564,9460,765,9460,mace,coxph
6,NCT01131676,f2,-6617,13242,13261,7063,773,7063,mace,coxph
6,NCT01032629,f2,-5361,10731,10749,4330,658,4330,mace,coxph
6,NCT01989754,f2,-2802,5611,5622,5805,337,5805,mace,coxph
6,NCT02065791,f2,-3944,7895,7907,4401,486,4401,mace,coxph
6,NCT00968708,f2,-5080,10165,10179,5381,621,5381,mace,coxph
6,NCT02465515,f3,-6776,13557,13571,9460,765,9460,mace,coxph
6,NCT01131676,f3,-6616,13243,13266,7063,773,7063,mace,coxph
6,NCT01032629,f3,-5364,10738,10761,4330,658,4330,mace,coxph
6,NCT01989754,f3,-2811,5628,5640,5805,337,5805,mace,coxph
6,NCT02065791,f3,-3945,7896,7909,4401,486,4401,mace,coxph
6,NCT00968708,f3,-5080,10167,10180,5381,621,5381,mace,coxph
6,NCT02465515,f4,-6791,13589,13603,9462,766,9462,mace,coxph
6,NCT01131676,f4,-6634,13278,13302,7064,773,7064,mace,coxph
6,NCT01032629,f4,-5383,10776,10799,4330,658,4330,mace,coxph
6,NCT01989754,f4,-2821,5648,5660,5805,337,5805,mace,coxph
6,NCT02065791,f4,-3949,7904,7917,4401,486,4401,mace,coxph
6,NCT00968708,f4,-5110,10226,10239,5384,621,5384,mace,coxph
6,NCT02465515,f5,-6771,13551,13574,9460,765,9460,mace,coxph
6,NCT01131676,f5,-6614,13243,13281,7063,773,7063,mace,coxph
6,NCT01032629,f5,-5360,10737,10773,4330,658,4330,mace,coxph
6,NCT01989754,f5,-2801,5612,5631,5805,337,5805,mace,coxph
6,NCT02065791,f5,-3944,7898,7919,4401,486,4401,mace,coxph
6,NCT00968708,f5,-5078,10167,10189,5381,621,5381,mace,coxph
6,NCT02465515,f6,-1105,2213,2215,9462,126,9462,death,coxph
6,NCT01131676,f6,-1143,2290,2296,7064,135,7064,death,coxph
6,NCT01032629,f6,-1135,2274,2279,4330,139,4330,death,coxph
6,NCT01989754,f6,-601,1205,1207,5805,73,5805,death,coxph
6,NCT02065791,f6,-838,1678,1680,4401,104,4401,death,coxph
6,NCT00968708,f6,-582,1165,1168,5384,73,5384,death,coxph
6,NCT02465515,f7,-1087,2181,2189,9460,126,9460,death,coxph
6,NCT01131676,f7,-1116,2239,2251,7063,135,7063,death,coxph
6,NCT01032629,f7,-1113,2235,2246,4330,139,4330,death,coxph
6,NCT01989754,f7,-595,1196,1202,5805,73,5805,death,coxph
6,NCT02065791,f7,-836,1677,1685,4401,104,4401,death,coxph
6,NCT00968708,f7,-570,1147,1154,5381,73,5381,death,coxph
6,NCT02465515,f8,-1087,2181,2189,9460,126,9460,death,coxph
6,NCT01131676,f8,-1114,2237,2252,7063,135,7063,death,coxph
6,NCT01032629,f8,-1116,2242,2257,4330,139,4330,death,coxph
6,NCT01989754,f8,-596,1198,1205,5805,73,5805,death,coxph
6,NCT02065791,f8,-834,1674,1682,4401,104,4401,death,coxph
6,NCT00968708,f8,-571,1147,1154,5381,73,5381,death,coxph
6,NCT02465515,f9,-1105,2216,2225,9462,126,9462,death,coxph
6,NCT01131676,f9,-1141,2291,2306,7064,135,7064,death,coxph
6,NCT01032629,f9,-1131,2273,2288,4330,139,4330,death,coxph
6,NCT01989754,f9,-600,1207,1213,5805,73,5805,death,coxph
6,NCT02065791,f9,-837,1680,1688,4401,104,4401,death,coxph
6,NCT00968708,f9,-580,1166,1173,5384,73,5384,death,coxph
6,NCT02465515,f10,-1087,2184,2198,9460,126,9460,death,coxph
6,NCT01131676,f10,-1112,2239,2262,7063,135,7063,death,coxph
6,NCT01032629,f10,-1113,2241,2265,4330,139,4330,death,coxph
6,NCT01989754,f10,-595,1200,1211,5805,73,5805,death,coxph
6,NCT02065791,f10,-833,1677,1690,4401,104,4401,death,coxph
6,NCT00968708,f10,-570,1150,1161,5381,73,5381,death,coxph
