model_n,data_lvl,fe_re,nwork,f_mdl,durn
m01,aggipd,fixed,dual,f4,ge12
m02,aggipd,random,dual,f4,ge12
m03,aggipd,random,dual,f8,ge12
m04,aggipd,random,dual,f4,ge26
m05,aggipd,fixed,mono,f4,ge12
m06,aggipd,random,mono,f4,ge12
m07,aggipd,random,mono,f8,ge12
m08,aggipd,random,mono,f4,ge26
m09,aggipd,fixed,triple,f4,ge12
m10,aggipd,random,triple,f4,ge12
m11,aggipd,random,triple,f8,ge12
m12,aggipd,random,triple,f4,ge26
m13,ipd,fixed,dual,f4,ge12
m14,ipd,random,dual,f4,ge12
m15,ipd,fixed,mono,f4,ge12
m16,ipd,random,mono,f4,ge12
m17,ipd,fixed,triple,f4,ge12
m18,ipd,random,triple,f4,ge12
m19,aggipd,random,dual,f1,ge12
m20,aggipd,random,mono,f1,ge12
m21,aggipd,random,triple,f1,ge12
m22,aggipd,fixed,dual,f1,ge12
m23,aggipd,fixed,mono,f1,ge12
m24,aggipd,fixed,triple,f1,ge12
